index,name,tendon,limb_group,source_file,side,side_source,crossed_limbs,crossed_joints,bodies,sites,agrees_with_geometry,note,group_key
34,tibant_r,tibant_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,ankle_angle_r|subtalar_angle_r,tibia_r|calcn_r,tibant_r-P1|tibant_r-P2|tibant_r-P3|tibant_r-P4,True,,R/lower
35,tibpost_r,tibpost_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,ankle_angle_r|subtalar_angle_r,tibia_r|calcn_r,tibpost_r-P1|tibpost_r-P2|tibpost_r-P3|tibpost_r-P4,True,,R/lower
36,vasint_r,vasint_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,knee_angle_r_translation3|knee_angle_r_translation2|knee_angle_r_translation1|knee_angle_r|knee_angle_r_rotation2|knee_angle_r_rotation3|knee_angle_r_beta_translation2|knee_angle_r_beta_translation1|knee_angle_r_beta_rotation1,femur_r|tibia_r|patella_r,vasint_r-P1|vasint_r-P2|vasint_r-P3|vasint_r-P4|vasint_r-P5,True,,R/lower
37,vaslat_r,vaslat_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,knee_angle_r_translation3|knee_angle_r_translation2|knee_angle_r_translation1|knee_angle_r|knee_angle_r_rotation2|knee_angle_r_rotation3|knee_angle_r_beta_translation2|knee_angle_r_beta_translation1|knee_angle_r_beta_rotation1,femur_r|tibia_r|patella_r,vaslat_r-P1|vaslat_r-P2|vaslat_r-P3|vaslat_r-P4|vaslat_r-P5,True,,R/lower
38,vasmed_r,vasmed_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower,knee_angle_r_translation3|knee_angle_r_translation2|knee_angle_r_translation1|knee_angle_r|knee_angle_r_rotation2|knee_angle_r_rotation3|knee_angle_r_beta_translation2|knee_angle_r_beta_translation1|knee_angle_r_beta_rotation1,femur_r|tibia_r|patella_r,vasmed_r-P1|vasmed_r-P2|vasmed_r-P3|vasmed_r-P4|vasmed_r-P5,True,,R/lower
39,Ps_L1_VB_r,Ps_L1_VB_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower|torso,hip_flexion_r|hip_adduction_r|hip_rotation_r|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_r|lumbar1,Ps_L1_VB_r-P1|Ps_L1_VB_r-P2|psoas_r-P3|psoas_r-P4,True,额外跨越 ['torso'],R/lower
40,Ps_L1_TP_r,Ps_L1_TP_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower|torso,hip_flexion_r|hip_adduction_r|hip_rotation_r|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_r|lumbar1,Ps_L1_TP_r-P1|Ps_L1_TP_r-P2|psoas_r-P3|psoas_r-P4,True,额外跨越 ['torso'],R/lower
41,Ps_L1_L2_IVD_r,Ps_L1_L2_IVD_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower|torso,hip_flexion_r|hip_adduction_r|hip_rotation_r|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_r|lumbar1,Ps_L1_L2_IVD_r-P1|Ps_L1_L2_IVD_r-P2|psoas_r-P3|psoas_r-P4,True,额外跨越 ['torso'],R/lower
42,Ps_L2_TP_r,Ps_L2_TP_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower|torso,hip_flexion_r|hip_adduction_r|hip_rotation_r|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_r|lumbar2,Ps_L2_TP_r-P1|Ps_L2_TP_r-P2|psoas_r-P3|psoas_r-P4,True,额外跨越 ['torso'],R/lower
43,Ps_L2_L3_IVD_r,Ps_L2_L3_IVD_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower|torso,hip_flexion_r|hip_adduction_r|hip_rotation_r|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_r|lumbar2,Ps_L2_L3_IVD_r-P1|Ps_L2_L3_IVD_r-P2|psoas_r-P3|psoas_r-P4,True,额外跨越 ['torso'],R/lower
44,Ps_L3_TP_r,Ps_L3_TP_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower|torso,hip_flexion_r|hip_adduction_r|hip_rotation_r|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_r|lumbar3,Ps_L3_TP_r-P1|Ps_L3_TP_r-P2|psoas_r-P3|psoas_r-P4,True,额外跨越 ['torso'],R/lower
45,Ps_L3_L4_IVD_r,Ps_L3_L4_IVD_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower|torso,hip_flexion_r|hip_adduction_r|hip_rotation_r|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_r|lumbar3,Ps_L3_L4_IVD_r-P1|Ps_L3_L4_IVD_r-P2|psoas_r-P3|psoas_r-P4,True,额外跨越 ['torso'],R/lower
46,Ps_L4_TP_r,Ps_L4_TP_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower|torso,hip_flexion_r|hip_adduction_r|hip_rotation_r|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_r|lumbar4,Ps_L4_TP_r-P1|Ps_L4_TP_r-P2|psoas_r-P3|psoas_r-P4,True,额外跨越 ['torso'],R/lower
47,Ps_L4_L5_IVD_r,Ps_L4_L5_IVD_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower|torso,hip_flexion_r|hip_adduction_r|hip_rotation_r|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_r|lumbar4,Ps_L4_L5_IVD_r-P1|Ps_L4_L5_IVD_r-P2|psoas_r-P3|psoas_r-P4,True,额外跨越 ['torso'],R/lower
48,Ps_L5_TP_r,Ps_L5_TP_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower|torso,hip_flexion_r|hip_adduction_r|hip_rotation_r|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_r|lumbar5,Ps_L5_TP_r-P1|Ps_L5_TP_r-P2|psoas_r-P3|psoas_r-P4,True,额外跨越 ['torso'],R/lower
49,Ps_L5_VB_r,Ps_L5_VB_r_tendon,lower,Muscle_Leg_r.xml,R,name,lower|torso,hip_flexion_r|hip_adduction_r|hip_rotation_r|L5_S1_FE|L5_S1_LB|L5_S1_AR,pelvis|femur_r|lumbar5,Ps_L5_VB_r-P1|Ps_L5_VB_r-P2|psoas_r-P3|psoas_r-P4,True,额外跨越 ['torso'],R/lower
50,addbrev_l,addbrev_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l,pelvis|femur_l,addbrev_l-P1|addbrev_l-P2,True,,L/lower
51,addlong_l,addlong_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l,pelvis|femur_l,addlong_l-P1|addlong_l-P2,True,,L/lower
52,addmagDist_l,addmagDist_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l,pelvis|femur_l,addmagDist_l-P1|addmagDist_l-P2,True,,L/lower
53,addmagIsch_l,addmagIsch_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l,pelvis|femur_l,addmagIsch_l-P1|addmagIsch_l-P2,True,,L/lower
54,addmagMid_l,addmagMid_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l,pelvis|femur_l,addmagMid_l-P1|addmagMid_l-P2,True,,L/lower
55,addmagProx_l,addmagProx_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l,pelvis|femur_l,addmagProx_l-P1|addmagProx_l-P2,True,,L/lower
56,bflh_l,bflh_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l|knee_angle_l_translation3|knee_angle_l_translation2|knee_angle_l_translation1|knee_angle_l|knee_angle_l_rotation2|knee_angle_l_rotation3,pelvis|tibia_l,bflh_l-P1|bflh_l-P2|bflh_l-P3,True,,L/lower
57,bfsh_l,bfsh_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,knee_angle_l_translation3|knee_angle_l_translation2|knee_angle_l_translation1|knee_angle_l|knee_angle_l_rotation2|knee_angle_l_rotation3,femur_l|tibia_l,bfsh_l-P1|bfsh_l-P2,True,,L/lower
58,edl_l,edl_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,ankle_angle_l|subtalar_angle_l|mtp_angle_l,tibia_l|calcn_l|toes_l,edl_l-P1|edl_l-P2|edl_l-P3|edl_l-P4|edl_l-P5|edl_l-P6,True,,L/lower
59,ehl_l,ehl_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,ankle_angle_l|subtalar_angle_l|mtp_angle_l,tibia_l|calcn_l|toes_l,ehl_l-P1|ehl_l-P2|ehl_l-P3|ehl_l-P4|ehl_l-P5|ehl_l-P6|ehl_l-P7|ehl_l-P8,True,,L/lower
60,fdl_l,fdl_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,ankle_angle_l|subtalar_angle_l|mtp_angle_l,tibia_l|calcn_l|toes_l,fdl_l-P1|fdl_l-P2|fdl_l-P3|fdl_l-P4|fdl_l-P5|fdl_l-P6|fdl_l-P7|fdl_l-P8,True,,L/lower
61,fhl_l,fhl_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,ankle_angle_l|subtalar_angle_l|mtp_angle_l,tibia_l|calcn_l|toes_l,fhl_l-P1|fhl_l-P2|fhl_l-P3|fhl_l-P4|fhl_l-P5|fhl_l-P6|fhl_l-P7,True,,L/lower
62,gaslat_l,gaslat_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,knee_angle_l_translation3|knee_angle_l_translation2|knee_angle_l_translation1|knee_angle_l|knee_angle_l_rotation2|knee_angle_l_rotation3|ankle_angle_l|subtalar_angle_l,femur_l|calcn_l,gaslat_l-P1|gaslat_l-P2,True,,L/lower
63,gasmed_l,gasmed_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,knee_angle_l_translation3|knee_angle_l_translation2|knee_angle_l_translation1|knee_angle_l|knee_angle_l_rotation2|knee_angle_l_rotation3|ankle_angle_l|subtalar_angle_l,femur_l|calcn_l,gasmed_l-P1|gasmed_l-P2,True,,L/lower
64,glmax1_l,glmax1_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l,pelvis|femur_l,glmax1_l-P1|glmax1_l-P2|glmax1_l-P3|glmax1_l-P4,True,,L/lower
65,glmax2_l,glmax2_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l,pelvis|femur_l,glmax2_l-P1|glmax2_l-P2|glmax2_l-P3|glmax2_l-P4,True,,L/lower
66,glmax3_l,glmax3_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l,pelvis|femur_l,glmax3_l-P1|glmax3_l-P2|glmax3_l-P3|glmax3_l-P4,True,,L/lower
67,glmed1_l,glmed1_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l,pelvis|femur_l,glmed1_l-P1|glmed1_l-P2,True,,L/lower
68,glmed2_l,glmed2_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l,pelvis|femur_l,glmed2_l-P1|glmed2_l-P2,True,,L/lower
69,glmed3_l,glmed3_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l,pelvis|femur_l,glmed3_l-P1|glmed3_l-P2,True,,L/lower
70,glmin1_l,glmin1_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l,pelvis|femur_l,glmin1_l-P1|glmin1_l-P2,True,,L/lower
71,glmin2_l,glmin2_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l,pelvis|femur_l,glmin2_l-P1|glmin2_l-P2,True,,L/lower
72,glmin3_l,glmin3_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l,pelvis|femur_l,glmin3_l-P1|glmin3_l-P2,True,,L/lower
73,grac_l,grac_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l|knee_angle_l_translation3|knee_angle_l_translation2|knee_angle_l_translation1|knee_angle_l|knee_angle_l_rotation2|knee_angle_l_rotation3,pelvis|tibia_l,grac_l-P1|grac_l-P2|grac_l-P3,True,,L/lower
74,iliacus_l,iliacus_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l,pelvis|femur_l,iliacus_l-P1|iliacus_l-P2|iliacus_l-P3|iliacus_l-P4,True,,L/lower
75,perbrev_l,perbrev_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,ankle_angle_l|subtalar_angle_l,tibia_l|calcn_l,perbrev_l-P1|perbrev_l-P2|perbrev_l-P3|perbrev_l-P4|perbrev_l-P5,True,,L/lower
76,perlong_l,perlong_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,ankle_angle_l|subtalar_angle_l,tibia_l|calcn_l,perlong_l-P1|perlong_l-P2|perlong_l-P3|perlong_l-P4|perlong_l-P5|perlong_l-P6|perlong_l-P7,True,,L/lower
77,piri_l,piri_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l,pelvis|femur_l,piri_l-P1|piri_l-P2|piri_l-P3,True,,L/lower
78,recfem_l,recfem_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l|knee_angle_l_translation3|knee_angle_l_translation2|knee_angle_l_translation1|knee_angle_l|knee_angle_l_rotation2|knee_angle_l_rotation3|knee_angle_l_beta_translation2|knee_angle_l_beta_translation1|knee_angle_l_beta_rotation1,pelvis|femur_l|tibia_l|patella_l,recfem_l-P1|recfem_l-P2|recfem_l-P3|recfem_l-P4|recfem_l-P5,True,,L/lower
79,sart_l,sart_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l|knee_angle_l_translation3|knee_angle_l_translation2|knee_angle_l_translation1|knee_angle_l|knee_angle_l_rotation2|knee_angle_l_rotation3,pelvis|femur_l|tibia_l,sart_l-P1|sart_l-P2|sart_l-P3|sart_l-P4|sart_l-P5,True,,L/lower
80,semimem_l,semimem_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l|knee_angle_l_translation3|knee_angle_l_translation2|knee_angle_l_translation1|knee_angle_l|knee_angle_l_rotation2|knee_angle_l_rotation3,pelvis|tibia_l,semimem_l-P1|semimem_l-P2,True,,L/lower
81,semiten_l,semiten_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l|knee_angle_l_translation3|knee_angle_l_translation2|knee_angle_l_translation1|knee_angle_l|knee_angle_l_rotation2|knee_angle_l_rotation3,pelvis|tibia_l,semiten_l-P1|semiten_l-P2|semiten_l-P3,True,,L/lower
82,soleus_l,soleus_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,ankle_angle_l|subtalar_angle_l,tibia_l|calcn_l,soleus_l-P1|soleus_l-P2,True,,L/lower
83,tfl_l,tfl_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,hip_flexion_l|hip_adduction_l|hip_rotation_l|knee_angle_l_translation3|knee_angle_l_translation2|knee_angle_l_translation1|knee_angle_l|knee_angle_l_rotation2|knee_angle_l_rotation3,pelvis|femur_l|tibia_l,tfl_l-P1|tfl_l-P2|tfl_l-P3|tfl_l-P4,True,,L/lower
84,tibant_l,tibant_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,ankle_angle_l|subtalar_angle_l,tibia_l|calcn_l,tibant_l-P1|tibant_l-P2|tibant_l-P3|tibant_l-P4,True,,L/lower
85,tibpost_l,tibpost_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,ankle_angle_l|subtalar_angle_l,tibia_l|calcn_l,tibpost_l-P1|tibpost_l-P2|tibpost_l-P3|tibpost_l-P4,True,,L/lower
86,vasint_l,vasint_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,knee_angle_l_translation3|knee_angle_l_translation2|knee_angle_l_translation1|knee_angle_l|knee_angle_l_rotation2|knee_angle_l_rotation3|knee_angle_l_beta_translation2|knee_angle_l_beta_translation1|knee_angle_l_beta_rotation1,femur_l|tibia_l|patella_l,vasint_l-P1|vasint_l-P2|vasint_l-P3|vasint_l-P4|vasint_l-P5,True,,L/lower
87,vaslat_l,vaslat_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,knee_angle_l_translation3|knee_angle_l_translation2|knee_angle_l_translation1|knee_angle_l|knee_angle_l_rotation2|knee_angle_l_rotation3|knee_angle_l_beta_translation2|knee_angle_l_beta_translation1|knee_angle_l_beta_rotation1,femur_l|tibia_l|patella_l,vaslat_l-P1|vaslat_l-P2|vaslat_l-P3|vaslat_l-P4|vaslat_l-P5,True,,L/lower
88,vasmed_l,vasmed_l_tendon,lower,Muscle_Leg_l.xml,L,name,lower,knee_angle_l_translation3|knee_angle_l_translation2|knee_angle_l_translation1|knee_angle_l|knee_angle_l_rotation2|knee_angle_l_rotation3|knee_angle_l_beta_translation2|knee_angle_l_beta_translation1|knee_angle_l_beta_rotation1,femur_l|tibia_l|patella_l,vasmed_l-P1|vasmed_l-P2|vasmed_l-P3|vasmed_l-P4|vasmed_l-P5,True,,L/lower
